City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
24,Hithadhoo,MV,80.22,scattered clouds,-0.6,73.0833,Pebbles Inn
26,Honiara,SB,85.77,broken clouds,-9.4333,159.95,King Solomon Hotel
35,Yeppoon,AU,94.78,few clouds,-23.1333,150.7333,Blossom's on Seaspray
53,Grand Gaube,MU,82.38,clear sky,-20.0064,57.6608,Coco Villa
55,San Ramon De La Nueva Oran,AR,80.42,broken clouds,-23.1322,-64.326,Alto Verde
67,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti International Resort
86,Dubbo,AU,93.33,clear sky,-32.25,148.6167,Blue Gum Motel
96,Saint-Philippe,RE,80.19,few clouds,-21.3585,55.7679,Le Baril
98,Vao,NC,80.44,scattered clouds,-22.6667,167.4833,Nataiwatch
99,Sisophon,KH,90.75,overcast clouds,13.5859,102.9737,Rathana Guesthouse
115,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Page 63 hostel
120,Cap Malheureux,MU,82.47,clear sky,-19.9842,57.6142,Cape Garden
150,Pontianak,ID,84.18,broken clouds,-0.0333,109.3333,Golden Tulip Hotel
165,Pangai,TO,82.35,overcast clouds,-19.8,-174.35,Billy's Place
173,Mareeba,AU,89.47,overcast clouds,-17.0,145.4333,The Gateway Hotel
187,Quatre Cocos,MU,82.09,scattered clouds,-20.2078,57.7625,Horisun
188,Alice Springs,AU,88.21,clear sky,-23.7,133.8833,Aurora Alice Springs
192,Faanui,PF,82.09,scattered clouds,-16.4833,-151.75,Oa Oa Lodge
194,Bengkulu,ID,83.79,light rain,-3.8004,102.2655,Dena Hotel
197,Kavieng,PG,85.77,overcast clouds,-2.5744,150.7967,Kavieng Hotel
202,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,The Adventures Inn
227,Santiago Del Estero,AR,81.39,clear sky,-27.7951,-64.2615,Nuevo Hotel Brístol
238,Samarinda,ID,83.53,overcast clouds,-0.5,117.15,Hotel Bumi Senyiur
255,Tabuk,PH,82.85,scattered clouds,17.4189,121.4443,Davidson Hotel
267,Hervey Bay,AU,82.22,scattered clouds,-25.2986,152.8535,Hervey Bay Hotel
269,Mahebourg,MU,82.26,scattered clouds,-20.4081,57.7,Grand Bel Air
301,Bowen,AU,89.33,broken clouds,-20.0167,148.2333,Whitsunday Sands Resort
307,Bontang,ID,84.06,overcast clouds,0.1333,117.5,Hotel Sederhana
329,Lakes Entrance,AU,81.16,scattered clouds,-37.8811,147.981,Banjo Patterson Motor Inn
338,Sulangan,PH,80.31,clear sky,11.1373,123.7228,Marion's Inn
357,Bintulu,MY,84.72,broken clouds,3.1667,113.0333,Bakun Inn
365,Waingapu,ID,84.88,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
375,Kununurra,AU,91.38,scattered clouds,-15.7667,128.7333,Kununurra Country Club Resort
391,Sabang,ID,81.75,overcast clouds,5.8933,95.3214,Sabang Hill
443,Bacolod,PH,85.48,few clouds,10.6667,122.95,Northwest Inn
445,Lorengau,PG,85.41,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
452,Fomboni,KM,82.45,overcast clouds,-12.28,43.7425,Mohéli La Plage
456,Port Hedland,AU,89.08,clear sky,-20.3167,118.5667,The Esplanade Hotel
467,Svay Rieng,KH,86.56,broken clouds,11.0879,105.7993,sopheakmonkol hotel
485,Moerai,PF,80.04,scattered clouds,-22.4333,-151.3333,Manotel Rurutu
486,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
520,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Hotel Hero
522,Cairns,AU,94.1,scattered clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
530,Padang,ID,85.06,broken clouds,-0.9492,100.3543,losmen Surya
538,Ko Samui,TH,85.91,few clouds,9.5357,99.9357,Nathon Residence
