City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dixon,US,38.4455,-121.8233,49.86,68,100,4.07,overcast clouds
1,Richards Bay,ZA,-28.783,32.0377,72.41,90,5,5.55,clear sky
2,Jalu,LY,29.0331,21.5482,49.1,58,0,7.25,clear sky
3,Barrow,US,71.2906,-156.7887,-5.78,77,0,21.85,clear sky
4,Mount Gambier,AU,-37.8333,140.7667,58.66,58,93,18.19,light rain
5,Bredasdorp,ZA,-34.5322,20.0403,62.06,84,9,1.66,clear sky
6,Tala,EG,30.6803,30.9429,44.49,67,8,6.53,clear sky
7,Hobart,AU,-42.8794,147.3294,64.26,64,75,23.02,broken clouds
8,Jamestown,US,42.097,-79.2353,19.71,83,0,8.05,clear sky
9,Rikitea,PF,-23.1203,-134.9692,79.45,75,5,15.26,clear sky
10,Ostrovnoy,RU,68.0531,39.5131,16.57,92,46,21.03,scattered clouds
11,Ushuaia,AR,-54.8,-68.3,53.26,76,40,5.75,scattered clouds
12,Cidreira,BR,-30.1811,-50.2056,74.62,92,2,6.26,clear sky
13,Puerto Ayora,EC,-0.7393,-90.3518,77.56,96,72,3.38,broken clouds
14,Sena Madureira,BR,-9.0656,-68.6569,73.49,98,96,0.96,overcast clouds
15,Praia,CV,14.9215,-23.5087,68.54,73,75,17.27,broken clouds
16,Chuy,UY,-33.6971,-53.4616,70.07,79,47,7.31,scattered clouds
17,Puerto Ayacucho,VE,5.6639,-67.6236,75.79,50,28,5.53,scattered clouds
18,Itaituba,BR,-4.2761,-55.9836,71.38,100,100,1.16,overcast clouds
19,Mattawa,US,46.7379,-119.9028,27.21,56,82,2.62,broken clouds
20,Chimbote,PE,-9.0853,-78.5783,70.97,79,97,4.83,overcast clouds
21,Marystown,CA,47.1666,-55.1483,16.74,70,56,3.09,broken clouds
22,Tasiilaq,GL,65.6145,-37.6368,21.36,76,100,22.75,snow
23,Rocha,UY,-34.4833,-54.3333,67.75,82,100,5.28,overcast clouds
24,Hithadhoo,MV,-0.6,73.0833,80.22,78,40,10.38,scattered clouds
25,Butaritari,KI,3.0707,172.7902,80.19,79,100,20.42,light rain
26,Honiara,SB,-9.4333,159.95,85.77,70,74,6.82,broken clouds
27,Clyde River,CA,70.4692,-68.5914,-28.97,68,0,16.11,clear sky
28,Grand-Lahou,CI,5.1367,-5.0242,77.14,92,2,3.8,clear sky
29,Gibara,CU,21.1097,-76.1317,70.92,79,4,12.84,clear sky
30,Pevek,RU,69.7008,170.3133,-8.28,95,25,0.56,scattered clouds
31,Caceres,ES,39.522,-6.3748,35.38,88,0,3.89,clear sky
32,Hermanus,ZA,-34.4187,19.2345,62.8,81,33,5.26,scattered clouds
33,Norman Wells,CA,65.282,-126.8329,-39.96,67,40,2.3,scattered clouds
34,La Ronge,CA,55.1001,-105.2842,-18.89,89,54,11.45,broken clouds
35,Yeppoon,AU,-23.1333,150.7333,94.78,57,17,5.39,few clouds
36,Ribeira Grande,PT,38.5167,-28.7,54.77,81,19,3.0,few clouds
37,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,5.75,clear sky
38,Port Alfred,ZA,-33.5906,26.891,64.18,92,0,1.01,clear sky
39,Kapaa,US,22.0752,-159.319,78.78,85,0,8.05,light rain
40,Vestmannaeyjar,IS,63.4427,-20.2734,37.72,89,100,40.44,overcast clouds
41,Albany,US,42.6001,-73.9662,19.45,63,11,1.99,few clouds
42,Koslan,RU,63.4564,48.8989,14.99,98,94,5.1,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,-33.45,65,37,3.0,scattered clouds
44,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,79.56,37,0,5.08,clear sky
45,Castro,BR,-24.7911,-50.0119,64.13,96,71,2.24,broken clouds
46,Qaanaaq,GL,77.484,-69.3632,-8.81,61,0,8.3,clear sky
47,Mercedes,AR,-34.6515,-59.4307,73.78,84,100,5.28,light rain
48,Sao Filipe,CV,14.8961,-24.4956,70.3,74,75,11.68,broken clouds
49,Cherskiy,RU,68.75,161.3,-6.11,99,98,3.11,overcast clouds
50,Busselton,AU,-33.65,115.3333,80.94,32,98,11.99,overcast clouds
51,Teya,RU,60.3778,92.6267,6.37,94,100,5.93,overcast clouds
52,Punta Arenas,CL,-53.15,-70.9167,55.51,67,100,9.22,overcast clouds
53,Grand Gaube,MU,-20.0064,57.6608,82.38,77,5,5.99,clear sky
54,Salalah,OM,17.0151,54.0924,73.49,56,75,5.75,broken clouds
55,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,80.42,56,70,1.48,broken clouds
56,Naze,JP,28.3667,129.4833,59.56,77,99,14.72,overcast clouds
57,Mar Del Plata,AR,-38.0023,-57.5575,71.1,83,100,4.0,overcast clouds
58,Emba,KZ,48.8264,58.1442,13.78,78,100,10.04,overcast clouds
59,Sola,VU,-13.8833,167.55,82.18,71,19,2.95,few clouds
60,Atuona,PF,-9.8,-139.0333,78.57,81,93,16.15,light rain
61,Tuktoyaktuk,CA,69.4541,-133.0374,-28.93,99,27,6.53,scattered clouds
62,Araouane,ML,18.9048,-3.5265,58.69,16,54,10.56,broken clouds
63,Bam,IR,29.106,58.357,57.34,59,2,9.24,clear sky
64,Talnakh,RU,69.4865,88.3972,6.87,96,100,8.46,light snow
65,Huarmey,PE,-10.0681,-78.1522,71.8,80,100,5.17,overcast clouds
66,Dikson,RU,73.5069,80.5464,-6.47,95,93,7.27,overcast clouds
67,Vaini,TO,-21.2,-175.2,84.36,74,75,13.8,light rain
68,Hegra,NO,63.4644,11.114,23.86,93,100,11.5,snow
69,Avarua,CK,-21.2078,-159.775,73.45,94,75,2.3,moderate rain
70,Ponta Do Sol,PT,32.6667,-17.1,63.23,66,75,10.38,broken clouds
71,Caravelas,BR,-17.7125,-39.2481,73.81,87,95,5.1,overcast clouds
72,Morehead,US,37.2711,-87.1764,29.95,91,0,0.0,clear sky
73,Takoradi,GH,4.8845,-1.7554,77.74,91,0,3.85,clear sky
74,Praia Da Vitoria,PT,38.7333,-27.0667,54.75,100,20,4.0,few clouds
75,Bucerias,MX,20.75,-105.3333,71.58,83,40,0.0,scattered clouds
76,Fallon,US,39.4735,-118.7774,29.44,73,75,3.44,broken clouds
77,Pizarro,CO,4.9533,-77.366,75.76,89,77,4.54,broken clouds
78,Kruisfontein,ZA,-34.0033,24.7314,57.88,71,65,5.86,broken clouds
79,Bouca,CF,6.5105,18.2733,72.84,27,10,2.17,clear sky
80,Soyo,AO,-6.1349,12.3689,76.84,81,65,5.12,broken clouds
81,Khatanga,RU,71.9667,102.5,-19.88,96,100,6.08,overcast clouds
82,Yicheng,CN,31.3705,119.8703,43.14,53,42,7.85,scattered clouds
83,Lavrentiya,RU,65.5833,-171.0,10.62,95,100,7.76,overcast clouds
84,Grand-Bourg,GP,15.8835,-61.3148,71.55,71,12,14.76,few clouds
85,Pemberton,CA,50.3164,-122.8027,34.54,96,100,3.67,overcast clouds
86,Dubbo,AU,-32.25,148.6167,93.33,17,0,23.02,clear sky
87,Namibe,AO,-15.1961,12.1522,71.42,80,100,3.85,overcast clouds
88,Portland,US,45.5234,-122.6762,40.86,73,40,9.22,scattered clouds
89,Fuyang,CN,32.9,115.8167,40.71,44,99,9.53,overcast clouds
90,Geraldton,AU,-28.7667,114.6,104.41,16,0,9.22,clear sky
91,Riyadh,SA,24.6877,46.7219,55.54,71,63,5.7,broken clouds
92,Mataura,NZ,-46.1927,168.8643,66.83,95,100,0.76,light rain
93,Bluff,NZ,-46.6,168.3333,65.08,89,89,11.63,light rain
94,Necochea,AR,-38.5473,-58.7368,62.85,85,90,6.96,overcast clouds
95,Kosh-Agach,RU,50.0,88.6667,-2.56,78,20,0.85,few clouds
96,Saint-Philippe,RE,-21.3585,55.7679,80.19,79,16,7.31,few clouds
97,Oranjestad,AW,12.524,-70.027,75.9,85,64,1.99,broken clouds
98,Vao,NC,-22.6667,167.4833,80.44,75,47,7.43,scattered clouds
99,Sisophon,KH,13.5859,102.9737,90.75,36,98,3.67,overcast clouds
100,Kurchum,KZ,48.5722,83.6542,2.57,92,47,1.81,scattered clouds
101,Sitka,US,57.0531,-135.33,40.89,75,100,9.22,light rain
102,Hilo,US,19.7297,-155.09,78.28,89,75,4.61,light rain
103,Nikolskoye,RU,59.7035,30.7861,30.09,95,100,5.88,light snow
104,Chokurdakh,RU,70.6333,147.9167,-9.24,98,100,4.12,overcast clouds
105,Muisne,EC,0.6,-80.0333,75.36,90,54,2.89,broken clouds
106,Nisia Floresta,BR,-6.0911,-35.2086,79.61,84,79,5.46,broken clouds
107,Souillac,MU,-20.5167,57.5167,79.77,78,50,8.61,scattered clouds
108,Bilma,NE,18.6853,12.9164,55.62,25,95,9.04,overcast clouds
109,Cape Town,ZA,-33.9258,18.4232,64.9,72,0,11.01,clear sky
110,Dukat,RU,62.55,155.55,-9.35,95,64,1.97,broken clouds
111,Molina,CL,-35.1167,-71.2833,69.53,43,0,3.44,clear sky
112,Bumba,CD,2.1833,22.4667,69.85,84,71,3.04,broken clouds
113,New Norfolk,AU,-42.7826,147.0587,63.9,64,99,1.99,overcast clouds
114,Flinders,AU,-34.5833,150.8552,88.25,69,13,8.01,few clouds
115,Georgetown,MY,5.4112,100.3354,85.95,66,20,10.36,few clouds
116,Port Elizabeth,ZA,-33.918,25.5701,67.32,86,51,8.01,broken clouds
117,Xinqing,CN,48.2333,129.5,8.44,57,74,11.95,broken clouds
118,Saldanha,ZA,-33.0117,17.9442,62.62,87,0,16.37,clear sky
119,Opuwo,NA,-18.0607,13.84,65.52,52,98,1.41,overcast clouds
120,Cap Malheureux,MU,-19.9842,57.6142,82.47,77,3,5.99,clear sky
121,Broome,US,42.2506,-75.833,20.01,74,0,3.44,clear sky
122,Labuhan,ID,-6.8844,112.2051,79.79,80,100,5.08,light rain
123,Holme,DK,56.1138,10.1725,34.18,89,12,9.55,few clouds
124,Etaples,FR,50.5219,1.6332,48.16,76,100,10.36,overcast clouds
125,Sorland,NO,67.667,12.6934,33.66,46,27,2.39,scattered clouds
126,Itarema,BR,-2.9248,-39.9167,78.51,80,100,9.78,overcast clouds
127,Coos Bay,US,43.3665,-124.2179,46.15,96,0,4.61,clear sky
128,Alofi,NU,-19.0595,-169.9187,77.77,86,100,25.7,light rain
129,Natal,BR,-5.795,-35.2094,79.45,83,75,4.61,broken clouds
130,Havelock,US,34.8791,-76.9013,42.93,79,100,9.22,overcast clouds
131,Severo-Kurilsk,RU,50.6789,156.125,24.33,74,58,11.3,broken clouds
132,Beloretsk,RU,53.9631,58.3981,3.27,84,29,1.16,scattered clouds
133,Esperance,AU,-33.8667,121.9,65.59,72,100,11.7,overcast clouds
134,Jurado,CO,7.1053,-77.7641,73.99,86,5,4.23,clear sky
135,Sisimiut,GL,66.9395,-53.6735,-2.43,94,100,2.1,overcast clouds
136,Tuatapere,NZ,-46.1333,167.6833,76.06,56,100,3.85,overcast clouds
137,Saint George,US,37.1041,-113.5841,37.99,45,0,3.0,clear sky
138,Roald,NO,62.5833,6.1333,35.76,93,40,10.36,light snow
139,Necsesti,RO,44.25,25.15,35.73,81,36,14.0,scattered clouds
140,Adrar,MR,20.5022,-10.0711,58.84,17,100,10.38,overcast clouds
141,Ilulissat,GL,69.2167,-51.1,12.22,48,98,16.11,overcast clouds
142,Colares,PT,38.7992,-9.4469,48.09,69,0,13.0,clear sky
143,Diapaga,BF,12.0708,1.7889,73.78,17,43,7.36,scattered clouds
144,Comodoro Rivadavia,AR,-45.8667,-67.5,67.8,48,67,6.06,broken clouds
145,Baruun-Urt,MN,46.6806,113.2792,4.32,74,3,8.5,clear sky
146,Torbay,CA,47.6666,-52.7314,10.27,84,84,7.11,broken clouds
147,Awjilah,LY,29.1081,21.2869,49.46,63,1,6.71,clear sky
148,Kaeo,NZ,-35.1,173.7833,77.32,85,100,2.95,overcast clouds
149,Acapulco,MX,16.8634,-99.8901,78.62,73,0,4.61,clear sky
150,Pontianak,ID,-0.0333,109.3333,84.18,74,75,6.91,broken clouds
151,Talcahuano,CL,-36.7167,-73.1167,56.88,72,0,10.36,clear sky
