City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Alyangula,AU,2023-02-01 02:58:07,-13.8483,136.4192,86.36,70,100,8.57
1,Am Timan,TD,2023-02-01 02:58:08,11.0297,20.2827,76.71,16,4,7.72
2,Buala,SB,2023-02-01 02:58:09,-8.145,159.5921,82.63,75,93,8.46
3,Avera,US,2023-02-01 02:44:59,33.194,-82.5271,61.56,95,100,6.17
4,San Andres,CO,2023-02-01 02:58:10,12.5847,-81.7006,80.62,74,20,18.41
5,Puerto Ayora,EC,2023-02-01 02:54:34,-0.7393,-90.3518,77.56,88,78,4.99
6,Rock Springs,US,2023-02-01 02:58:14,41.5875,-109.2029,11.64,61,40,11.5
7,Florenville,BE,2023-02-01 02:58:15,49.6998,5.3074,41.11,98,99,10.71
8,Nantucket,US,2023-02-01 02:54:24,41.2835,-70.0995,33.15,68,100,12.66
9,Shelopugino,RU,2023-02-01 02:58:16,51.6514,117.5599,-0.56,76,9,3.71
10,Lebu,CL,2023-02-01 02:58:16,-37.6167,-73.65,56.77,84,0,20.29
11,Wewak,PG,2023-02-01 02:58:17,-3.5534,143.6268,84.52,70,48,9.15
12,Terrace,CA,2023-02-01 02:53:28,54.5163,-128.6035,33.71,100,100,3.44
13,Changji,CN,2023-02-01 02:58:17,44.0167,87.3167,9.39,85,100,2.24
14,Yellowknife,CA,2023-02-01 02:53:22,62.456,-114.3525,-25.08,68,20,11.5
15,Ulaanbaatar,MN,2023-02-01 02:51:08,47.9077,106.8832,-16.47,69,94,2.24
16,Albany,US,2023-02-01 02:58:17,42.6001,-73.9662,21.22,64,96,4.23
17,Castro,BR,2023-02-01 02:58:20,-24.7911,-50.0119,63.25,98,100,2.48
18,Rikitea,PF,2023-02-01 02:58:21,-23.1203,-134.9692,79.21,69,4,14.14
19,Vaini,TO,2023-02-01 02:58:22,-21.2,-175.2,82.56,89,75,10.36
20,Tevriz,RU,2023-02-01 02:58:23,57.509,72.4042,4.6,96,50,4.47
21,Zhigansk,RU,2023-02-01 02:53:57,66.7697,123.3711,-19.71,99,100,5.32
22,Qaanaaq,GL,2023-02-01 02:58:24,77.484,-69.3632,-6.68,47,84,7.49
23,Sitka,US,2023-02-01 02:48:29,57.0531,-135.33,39.09,81,100,16.11
24,Ushuaia,AR,2023-02-01 02:58:26,-54.8,-68.3,56.86,51,75,16.11
25,Arlit,NE,2023-02-01 02:58:27,18.7369,7.3853,60.94,21,30,8.19
26,Novyy Urengoy,RU,2023-02-01 02:58:30,66.0833,76.6333,7.84,94,100,17.45
27,North Platte,US,2023-02-01 02:58:30,41.1239,-100.7654,7.38,75,0,6.91
28,Lasa,IT,2023-02-01 02:58:33,46.6166,10.7002,38.28,89,24,6.46
29,Sulina,RO,2023-02-01 02:58:34,45.1559,29.6536,28.38,92,12,9.6
30,Busselton,AU,2023-02-01 02:58:35,-33.65,115.3333,75.92,38,0,12.86
31,Port Elizabeth,ZA,2023-02-01 02:47:43,-33.918,25.5701,67.32,97,0,5.75
32,Punta Arenas,CL,2023-02-01 02:58:38,-53.15,-70.9167,53.71,62,20,21.85
33,Port-Gentil,GA,2023-02-01 02:54:06,-0.7193,8.7815,80.19,80,34,13.76
34,Muskegon,US,2023-02-01 02:58:40,43.3,-86.1334,17.89,71,75,11.5
35,Ambilobe,MG,2023-02-01 02:58:40,-13.2,49.05,74.14,94,56,1.63
36,Kismayo,SO,2023-02-01 02:55:39,-0.3582,42.5454,77.25,77,83,15.52
37,Teya,RU,2023-02-01 02:58:40,60.3778,92.6267,1.92,98,100,2.82
38,Chokurdakh,RU,2023-02-01 02:58:40,70.6333,147.9167,-0.4,97,100,7.52
39,Chuy,UY,2023-02-01 02:58:41,-33.6971,-53.4616,70.39,92,6,5.79
40,Port Alfred,ZA,2023-02-01 02:58:41,-33.5906,26.891,66.18,96,5,4.85
41,Ormara,PK,2023-02-01 02:58:41,25.2088,64.6357,66.79,41,1,5.08
42,Hilo,US,2023-02-01 02:58:42,19.7297,-155.09,76.28,92,20,11.5
43,San Patricio,US,2023-02-01 02:48:47,28.017,-97.5169,39.07,83,100,13.58
44,Hirara,JP,2023-02-01 02:49:32,24.8,125.2833,73.26,64,75,8.05
45,Mitchellville,US,2023-02-01 02:58:43,38.9251,-76.7428,37.04,92,100,4.61
46,New Norfolk,AU,2023-02-01 02:58:44,-42.7826,147.0587,65.91,41,73,4.0
47,Carutapera,BR,2023-02-01 02:58:45,-1.195,-46.02,75.22,93,100,4.27
48,Rocha,UY,2023-02-01 02:58:46,-34.4833,-54.3333,67.78,96,9,4.74
49,Cape Town,ZA,2023-02-01 02:56:42,-33.9258,18.4232,72.37,81,0,10.36
50,Acapulco,MX,2023-02-01 02:58:46,16.8634,-99.8901,76.51,73,0,6.51
51,Georgetown,MY,2023-02-01 02:56:24,5.4112,100.3354,84.13,78,20,4.61
52,Mataura,NZ,2023-02-01 02:58:47,-46.1927,168.8643,73.83,63,100,3.85
53,Bambous Virieux,MU,2023-02-01 02:58:47,-20.3428,57.7575,77.25,88,40,6.91
54,Lakhnadon,IN,2023-02-01 02:58:48,22.6,79.6,58.35,59,0,9.17
55,Atuona,PF,2023-02-01 02:58:48,-9.8,-139.0333,78.98,77,92,22.06
56,Beringovskiy,RU,2023-02-01 02:48:59,63.05,179.3167,21.88,97,58,7.36
57,Nuuk,GL,2023-02-01 02:56:07,64.1835,-51.7216,4.82,90,100,14.03
58,Boma,GH,2023-02-01 02:58:49,7.0805,-2.1697,69.17,70,77,0.92
59,Itoman,JP,2023-02-01 02:58:49,26.1247,127.6694,71.62,55,75,11.5
60,Atar,MR,2023-02-01 02:53:54,20.5169,-13.0499,65.79,22,74,5.35
61,Moussoro,TD,2023-02-01 02:58:50,13.6408,16.4901,70.9,23,76,13.04
62,Port Lincoln,AU,2023-02-01 02:58:51,-34.7333,135.8667,66.51,61,95,15.41
63,Saint-Michel-Des-Saints,CA,2023-02-01 02:46:30,46.6834,-73.9159,-12.59,100,43,3.36
64,Thompson,CA,2023-02-01 02:48:04,55.7435,-97.8558,-25.44,68,40,0.0
