City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Edd,ER,2023-01-31 02:44:49,13.9297,41.6925,74.98,65,6,18.95
1,Albany,US,2023-01-31 02:40:06,42.6001,-73.9662,30.63,86,99,5.19
2,Kulhudhuffushi,MV,2023-01-31 02:44:49,6.6221,73.07,80.1,75,100,10.36
3,Mahebourg,MU,2023-01-31 02:44:49,-20.4081,57.7,78.26,88,40,3.44
4,Bluff,NZ,2023-01-31 02:44:49,-46.6,168.3333,66.2,75,50,10.76
5,Ushuaia,AR,2023-01-31 02:44:50,-54.8,-68.3,44.26,65,20,9.22
6,Bengkulu,ID,2023-01-31 02:44:22,-3.8004,102.2655,82.2,71,100,3.74
7,Yar-Sale,RU,2023-01-31 02:44:50,66.8333,70.8333,-17.18,100,56,6.17
8,Jamestown,US,2023-01-31 02:39:56,42.097,-79.2353,27.99,93,100,6.91
9,Victoria,HK,2023-01-31 02:42:16,22.2855,114.1577,66.25,49,100,5.99
10,Rabo De Peixe,PT,2023-01-31 02:44:52,37.8,-25.5833,54.91,71,75,8.05
11,Paita,PE,2023-01-31 02:44:52,-5.0892,-81.1144,73.38,81,95,5.79
12,Butaritari,KI,2023-01-31 02:44:52,3.0707,172.7902,80.96,76,95,20.04
13,Grand Gaube,MU,2023-01-31 02:44:52,-20.0064,57.6608,78.39,77,50,7.58
14,San Patricio,US,2023-01-31 02:44:53,28.017,-97.5169,46.26,82,100,14.76
15,Kaeo,NZ,2023-01-31 02:44:53,-35.1,173.7833,72.32,93,100,18.23
16,Krasnoarmeysk,RU,2023-01-31 02:44:53,51.0239,45.6969,26.73,97,99,9.04
17,Kodiak,US,2023-01-31 02:44:54,57.79,-152.4072,40.51,93,100,4.61
18,Nanortalik,GL,2023-01-31 02:44:54,60.1432,-45.2371,23.7,83,100,12.48
19,Namibe,AO,2023-01-31 02:44:55,-15.1961,12.1522,72.41,76,100,3.87
20,Axim,GH,2023-01-31 02:44:55,4.8699,-2.2405,78.31,89,80,3.94
21,Casper,US,2023-01-31 02:44:56,42.8666,-106.3131,-1.61,55,0,14.97
22,Kampong Thum,KH,2023-01-31 02:44:56,12.7111,104.8887,79.36,52,77,8.59
23,Ligayan,PH,2023-01-31 02:44:56,4.6533,119.4706,81.7,73,96,4.85
24,Khatanga,RU,2023-01-31 02:44:57,71.9667,102.5,-46.34,100,62,3.53
25,Carnarvon,AU,2023-01-31 02:44:57,-24.8667,113.6333,80.98,61,69,8.88
26,Okhotsk,RU,2023-01-31 02:44:58,59.3833,143.3,1.4,81,100,15.01
27,Bredasdorp,ZA,2023-01-31 02:44:59,-34.5322,20.0403,64.11,83,30,10.74
28,Tiksi,RU,2023-01-31 02:44:59,71.6872,128.8694,-17.95,98,100,9.4
29,Vaini,TO,2023-01-31 02:44:59,-21.2,-175.2,86.16,79,75,8.05
30,Nizhniy Baskunchak,RU,2023-01-31 02:45:00,48.2198,46.8311,21.36,83,13,7.18
31,Lebu,CL,2023-01-31 02:41:57,-37.6167,-73.65,57.04,83,0,21.47
32,Hermanus,ZA,2023-01-31 02:45:00,-34.4187,19.2345,66.79,78,30,15.01
33,Rikitea,PF,2023-01-31 02:45:10,-23.1203,-134.9692,79.47,70,39,10.02
34,Punta Arenas,CL,2023-01-31 02:42:50,-53.15,-70.9167,48.31,66,40,10.36
